id,locationId,RoadName,RoadNumber,RoadType
41e6d1ee-94fd-5f60-89ba-c114fdb1e1e4,a1a80a54-5bc1-53ae-aada-675dfdaddfa4,High St,B7083,B-Road
88cb46d1-c66b-59be-a1ac-20686ad02935,2ea6ecc3-17ca-5d3d-a223-e2227de3f05f,Glaisnock St,A81,A-Road
9698b2c3-28fa-5323-96f1-45acece9b2be,eec3c86e-3ebc-5549-89df-ee5b6b0a4c49,Milngavie Rd,A81,A-Road
bb0d4d8e-d997-5442-b693-cdbf3ec90796,441333b7-ecd5-5587-9f7c-c1086a043c28,Townhead,B6415,B-Road
6a428998-b3bb-5d94-bc20-dec876e6703f,48650827-e73d-57cd-8c7c-474dc5b47717,Eskview Terrace,B6415,B-Road
b69d9333-1711-53fb-873a-24bb23b95386,48650827-e73d-57cd-8c7c-474dc5b47717,New St,A199,A-Road
1131f9e5-9ac7-58ac-af09-2976f6ebd1b9,48650827-e73d-57cd-8c7c-474dc5b47717,Linkfield Rd,A77,A-Road
afe09fa1-b0d2-527f-bdce-f3d8dccadb25,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Caplethill Rd,A727,A-Road
f5b9f1a6-2444-50cd-a6e6-64b9bbe02226,a5fc89f4-4eee-5a10-bc9d-5f21d651ddc7,Glasgow Rd,A727,A-Road
7524e6f2-4fc3-57f6-bbc8-90de51c73470,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Kelburn St,A736,A-Road
e075f3b6-a91c-582f-9b40-bea4d32e723d,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Darnley Rd,A77,A-Road
13469ed1-1170-54b1-a2f8-270cfb85dc67,7762df5c-37ca-5b90-b210-d700aa207996,Neilston Rd,A736,A-Road
9eecaf65-8c1b-58b3-b1ee-c46af2410d04,78d8eb6a-da85-5995-8771-02d5d6e79b88,Ayr Rd,B767,B-Road
30b9fc48-a896-5698-bfed-c1cddcb328d7,a54f1424-764e-5194-b146-73d8ae73c1f7,Glasgow Rd,B767,B-Road
81907c4a-d943-5f6e-8917-2e13c42d029c,405fc7eb-37ac-5e83-a5da-3cc1c028d235,Montgomery St,B764,B-Road
b3d6ed4c-e881-54fe-877c-45b5bf10efec,bff51d42-6082-549f-a449-c7376dfc481a,East Kilbride Rd,A736,A-Road
